gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ERG251	7093.1804287462	1.70581545106501	0.132999441849587	12.8257339079224	1.17667070982136e-37	6.9258837980085E-34
ERG6	23140.0541388131	1.27618091801838	0.110554204456396	11.5434860600144	7.96312326588799e-31	2.34354717715083E-27
ERG1	14978.1982496201	1.1128249603562	0.10198853386765	10.9112752008016	1.01817956114467e-27	1.99766829896584E-24
CAALFM_C301540WA	251.220819211109	2.68121846040628	0.295692418515457	9.06759285161084	1.21675267550098e-19	1.79045156199969E-16
ERG24	7217.64966138886	0.84152635283059	0.114788723512966	7.33108903973075	2.28289919803587e-13	2.68742893592782E-10
MET13	3850.92956080744	-0.800055299162878	0.113369062551883	-7.05708666151078	1.70029593601792e-12	1.66799031323358E-09
FRP1	502.872322724167	1.15527521669883	0.168081983062533	6.8732840703636	6.27404502381953e-12	5.27557557288597E-09
ERG11	22935.9190847225	0.746146268948783	0.111267256909391	6.70589254803323	2.00178988329342e-11	1.47281690663314E-08
ERG5	37299.7583557614	0.640289536512042	0.0977047077751057	6.55331305003076	5.62743721250623e-11	3.68034393697907E-08
ERG2	4928.29670467713	0.820039944715434	0.134787734810049	6.08393594469914	1.1726747031314e-09	6.9023633026314E-07
CAALFM_C505200CA	1779.21264215539	0.93097466972999	0.166565323562852	5.58924660797538	2.28056885169131e-08	0.0000122031166009591
CAALFM_C104590WA	2050.49542658691	0.894914737022713	0.161718554275352	5.53377898431479	3.13403848038642e-08	0.0000153070089002578
VPS23	394.523135589023	-1.19400648833896	0.216286724190594	-5.5204797835247	3.38075290015887e-08	0.0000153070089002578
RBT1	308.161805860447	-1.12467591430003	0.210963273466659	-5.33114553931009	9.75951620320509e-08	0.0000410317945514751
ERG4	6432.99247484986	0.706625811179987	0.139822934670489	5.05371892562006	4.33289129042842e-07	0.000170022654236411
ERG3	6980.83291129366	0.752668794734987	0.151399640515623	4.97140410751054	6.64697388037722e-07	0.000244525551624377
CAALFM_C203110WA	404.911319822482	0.887975902505166	0.179355588863207	4.95092407286186	7.38619186777675e-07	0.000255736031374906
ALS7	763.621829688879	-1.17357043971019	0.243581181278645	-4.81798484410702	1.4501538301167e-06	0.00047420030244816
SLD1	1823.79004613228	0.579139695750607	0.122098223862292	4.74322784911093	2.1033946106815e-06	0.000619029033923565
DES1	6153.09735260509	0.526418181636262	0.110824216745579	4.75002844229227	2.03388040303034e-06	0.000619029033923565
MDR1	1372.44922166027	0.592667692017052	0.127704939909666	4.64091437994712	3.46870837527636e-06	0.000972229404613173
ERG7	8296.46694789131	0.523790119826068	0.113232956069616	4.62577449187178	3.73201183385393e-06	0.000998482802457466
CAALFM_C701430CA	1521.56170878732	-0.785181395554182	0.173155619009211	-4.53454181878103	5.77286638814224e-06	0.00147735180698284
FET31	19854.7129079397	-0.537006577067747	0.118746351358417	-4.52229959846834	6.11713927379257e-06	0.00150022840689763
AVT4	683.850871128814	-0.819686471428498	0.182878313405939	-4.48214146424798	7.3897729154542e-06	0.0017233981619621
CAALFM_C602650CA	1655.5855257692	0.548623951565371	0.122575716311726	4.47579641443944	7.61270000187131e-06	0.0017233981619621
CAALFM_CR04120CA	3701.31632906208	0.479876622715642	0.107722839759596	4.45473424007925	8.39971771799607e-06	0.00183113846252314
CAALFM_C403720CA	1355.32882498761	-0.618864636561147	0.141310514414961	-4.37946630598088	1.18970313975669e-05	0.0023612853914168
LYS22	5228.77532707006	-0.72333707329362	0.165260486003403	-4.37695114413935	1.20350937381081e-05	0.0023612853914168
EAF7	5047.49877371859	0.468218594979623	0.106947297597013	4.37803110036416	1.19756264528962e-05	0.0023612853914168
RPN7	1920.89428438061	-0.84576414591408	0.194875243164257	-4.34002868800117	1.42464115952831e-05	0.00270497995644634
CAALFM_C103690WA	2291.04276025181	-1.19323821100109	0.275998636469666	-4.32334821020841	1.53678885019118e-05	0.00279698560336329
SAH1	48201.2679748342	-0.733863839606305	0.169919424344787	-4.31889316030878	1.56813667874598e-05	0.00279698560336329
ECM25	539.814296277195	-0.739872886242425	0.172345799265871	-4.29295572850634	1.76310171694473e-05	0.00305224020762843
BTA1	122.741270342273	-1.229185754532	0.292448647228726	-4.20308237422157	2.63304713828277e-05	0.00434339691958239
CAALFM_C205170WA	434.751152931282	-0.897007799651471	0.213518662163789	-4.20107446609693	2.65651187742042e-05	0.00434339691958239
AUR1	1223.7521988441	-1.08333289018742	0.260994405572624	-4.15078969915306	3.31330099537469e-05	0.00527083504291228
CAALFM_C301260CA	378.46599262146	-0.864818507349894	0.209461283104635	-4.1287749914044	3.647010809285e-05	0.00564902779564513
SPE1	3044.22587013285	-0.48776278694496	0.119342093246805	-4.08709763399442	4.36803329903588e-05	0.00659237025592954
QCR8	3021.88282753445	-0.911330425139443	0.223765234835341	-4.07270783511143	4.64697016706574e-05	0.00683801660083723
CAALFM_C303460CA	484.042138305936	0.72026136233487	0.177189147089809	4.06492933774213	4.80470165788124e-05	0.00689767657519243
CAALFM_C101210WA	574.973910000009	-0.802063794699734	0.199052982740412	-4.02939852323497	5.59197484381284e-05	0.00783675331682914
RPP1B	3220.33092582904	-0.888743796313427	0.222279550122073	-3.99831561574306	6.37948487053232e-05	0.00860254213785777
FAA21	1613.41880373765	-0.832966557598434	0.208428095224703	-3.99642167578428	6.4307144761424e-05	0.00860254213785777
CAALFM_C301910CA	1647.07850432889	-0.975765313391307	0.244673231959003	-3.9880345944619	6.66229502053305e-05	0.00870741136662098
