	F0	F1	F2
397	13	7	7
398	153	160	165
399	661	686	749
400	1	0	2
401	11	5	6
402	184	200	111
403	6	2	3
404	26	22	21
405	20	22	29
406	9	18	6
407	16	10	11
408	653	629	573
409	98	90	117
410	16	20	14
411	131	101	113
412	4	3	3
413	0	0	0
414	16	13	8
415	1	1	1
416	5	4	3
417	30	24	12
418	48	40	45
419	1	0	3
420	3	7	2
421	16	15	15
422	14	21	20
423	23	11	17
424	1	1	4
425	12	9	5
426	11	7	2
427	14	23	16
428	2	4	1
429	72	50	54
430	201	173	174
431	503	553	520
432	37	28	22
433	32	16	25
434	0	0	0
435	9	14	13
436	54	45	29
437	38	32	28
438	0	0	1
439	14	5	8
440	24	13	22
441	2	5	1
442	49	58	39
443	0	2	5
444	1	1	1
445	20	13	10
446	91	90	64
447	126	106	84
448	19	25	21
449	0	0	0
450	41	36	23
451	4	2	3
452	62	77	88
453	5	6	4
454	45	45	51
455	0	0	0
456	30	23	25
457	177	128	157
458	4	8	11
459	4	9	5
460	0	0	0
461	0	0	0
462	114	97	89
463	74	58	46
464	1120	1211	1191
465	29	21	15
466	53	71	80
467	253	193	206
468	1	2	2
469	7	9	7
470	14	8	2
471	156	151	137
472	337	347	287
473	18	14	13
474	1	0	2
475	26	21	26
476	2	3	1
477	33	27	31
478	13	16	7
479	3	2	1
480	0	0	0
481	2	3	3
482	50	31	40
483	4	9	1
484	5	7	4
485	29	37	36
486	76	74	50
487	5	1	2
488	14	10	11
489	68	56	62
490	0	0	0
491	17	16	14
492	78	83	85
493	6	5	3
494	105	115	101
495	46	63	67
496	4	2	1
497	6	3	5
498	25	14	23
499	1	1	4
500	29	40	27
501	7	11	7
502	47	35	32
503	31	24	26
504	12	22	16
505	12	10	9
506	5	4	3
507	215	152	123
508	0	1	0
509	0	0	0
510	26	24	30
511	5	7	4
512	7	5	1
513	36	24	27
514	185	155	154
515	18	13	9
516	2	6	3
517	23	13	27
518	20	18	21
519	10	12	9
520	7	4	8
521	16	15	14
522	0	0	0
523	96	93	113
524	110	83	83
525	13	10	8
526	57	43	44
527	6	11	3
528	3	11	16
529	0	0	0
530	1	0	0
531	1	0	0
532	112	132	110
533	3	4	7
534	90	99	82
535	0	2	1
536	11	8	5
537	38	34	40
538	6	4	6
539	8	4	2
540	10	7	6
541	3	6	5
542	0	0	0
543	2	1	0
544	44	83	48
545	0	4	3
546	4	2	4
547	22	16	18
548	0	1	0
549	37	43	35
550	36	26	20
551	12	6	7
552	40	40	28
553	194	228	159
554	11	13	8
555	17	15	12
556	0	0	0
557	20	14	14
558	4	8	3
559	0	0	0
560	27	44	16
561	17	8	4
562	6	8	5
563	9	12	5
564	12	3	15
565	105	94	108
566	13	14	17
567	16	15	9
568	31	34	30
569	486	445	477
570	26	13	11
571	3	3	1
572	88	92	87
573	0	0	0
574	0	0	0
575	107	139	94
576	1	1	0
577	18	8	5
578	4	7	7
579	0	0	0
580	15	26	21
581	35	25	36
582	0	0	0
583	15	8	7
584	6	3	4
585	120	95	70
586	0	5	1
587	83	61	47
588	9	18	10
589	0	0	0
590	2	4	4
591	3	3	1
592	37	45	34
593	70	36	27
594	47	39	27
595	0	0	0
596	30	36	22
597	1107	1064	1126
598	109	125	133
599	148	161	130
600	19	21	20
601	12	7	10
602	6	7	5
603	30	32	25
604	487	443	316
605	35	40	39
606	187	185	186
607	25	14	26
608	3	3	1
609	1813	1759	1711
610	49	39	68
611	131	163	126
612	0	0	0
613	0	0	0
614	36	29	26
615	6	1	2
616	14	9	15
617	12	12	7
618	34	32	39
619	26	22	18
620	13	16	13
621	14	22	21
622	8	7	2
623	7	12	10
624	19	11	17
625	92	83	101
626	1	2	1
627	72	51	50
628	10	19	16
629	12	15	13
630	26	23	34
631	16	13	22
632	59	62	64
633	1	3	3
634	63	33	32
635	2	0	0
636	0	0	0
637	1	0	0
638	393	383	376
639	53	44	37
640	71	52	58
641	7	11	3
642	193	166	153
643	14	12	5
644	285	301	247
645	5	5	7
646	4	3	4
647	55	55	39
648	36	39	22
649	46	35	26
650	6	6	3
651	0	0	0
652	36	40	29
653	2	3	4
654	118	141	80
655	0	0	0
656	57	55	38
657	14	11	6
658	329	302	245
659	52	55	40
660	136	108	91
661	108	117	117
662	0	1	2
663	0	0	0
664	22	14	10
665	7	8	4
666	30	32	24
667	23	27	21
668	39	31	25
669	2	4	5
670	1	4	4
671	18	35	25
672	4	8	5
673	39	35	22
674	23	19	13
675	0	0	0
676	1	0	0
677	209	196	170
678	2	3	3
679	38	40	41
680	17	21	12
681	67	78	49
682	16	13	7
683	150	131	129
684	11	12	15
685	3	2	7
686	0	0	0
687	53	49	45
688	6	4	1
689	46	48	35
690	0	0	1
691	14	21	10
692	472	444	451
693	16	21	10
694	30	37	29
695	0	0	0
696	66	61	65
697	7	1	0
698	12	8	8
699	15	12	12
700	0	0	0
701	23	29	20
702	18	17	16
703	9	3	4
704	0	0	0
705	32	12	14
706	13	6	5
707	0	0	0
708	17	17	10
709	0	0	0
710	20	25	27
711	28	24	8
712	9	22	12
713	113	129	110
714	143	119	93
715	106	142	116
716	25	20	11
717	14	14	16
718	3	4	2
719	6	11	6
720	6	9	11
721	13	8	5
