	F0	F1	F2
398	75	72	76
399	548	520	583
400	1	0	1
401	9	7	5
402	155	149	125
403	1	2	3
404	5	9	6
405	9	12	14
406	8	1	4
407	13	16	18
408	403	402	317
409	62	42	56
410	4	6	6
411	42	31	37
412	5	2	3
413	0	0	0
414	17	17	13
415	1	0	0
416	1	2	2
417	17	20	16
418	37	36	32
419	4	1	0
420	3	3	2
421	6	4	8
422	16	10	13
423	6	6	4
424	0	1	1
425	4	5	9
426	4	3	1
427	2	3	2
428	2	0	2
429	33	23	30
430	100	92	108
431	231	260	262
432	20	7	21
433	19	10	17
434	0	0	0
435	5	12	11
436	18	16	13
437	21	20	23
438	0	0	0
439	1	2	1
440	13	11	13
441	1	1	0
442	47	48	48
443	2	5	5
444	1	0	1
445	2	8	8
446	70	55	51
447	32	35	24
448	16	19	12
449	0	0	0
450	17	15	16
451	0	3	2
452	57	81	58
453	3	4	3
454	19	28	20
455	0	0	0
456	5	7	9
457	129	116	120
458	9	16	3
459	0	2	0
460	0	2	1
461	0	0	0
462	44	54	33
463	22	29	28
464	922	939	958
465	17	14	15
466	18	19	23
467	90	68	60
468	1	1	2
469	2	8	3
470	3	1	2
471	64	66	61
472	101	94	92
473	8	11	3
474	0	1	0
475	9	12	14
476	0	0	1
477	11	12	21
478	9	4	5
479	0	0	1
480	0	0	0
481	1	2	3
482	26	27	32
483	3	1	2
484	2	0	1
485	33	42	30
486	57	57	49
487	2	0	1
488	6	16	8
489	60	66	61
490	0	0	0
491	18	11	6
492	67	51	54
493	2	1	2
494	74	76	93
495	55	47	46
496	2	2	3
497	4	4	1
498	19	11	16
499	0	1	0
500	28	27	20
501	16	7	4
502	46	41	29
503	23	23	35
504	7	4	4
505	10	10	6
506	1	0	0
507	58	67	46
508	0	0	0
509	0	0	0
510	21	18	18
511	3	14	9
512	1	1	0
513	11	12	13
514	96	111	91
515	5	12	9
516	0	1	2
517	10	8	10
518	17	13	9
519	10	6	3
520	8	6	6
521	11	16	10
522	0	0	0
523	95	75	112
524	63	52	44
525	8	3	4
526	47	34	28
527	3	7	3
528	2	4	6
529	0	0	0
530	0	0	0
531	0	0	2
532	56	53	45
533	4	4	6
534	87	61	76
535	1	0	0
536	5	4	6
537	33	39	28
538	1	1	0
539	1	3	1
540	7	4	8
541	4	2	0
542	0	0	0
543	2	1	0
544	53	61	58
545	4	3	19
546	2	0	0
547	7	6	5
548	2	0	0
549	19	18	17
550	11	10	13
551	5	5	1
552	9	11	7
553	64	66	44
554	3	6	1
555	19	14	10
556	0	0	0
557	6	9	6
558	2	1	1
559	0	0	0
560	27	21	15
561	17	7	12
562	0	1	4
563	13	7	5
564	7	5	4
565	40	27	47
566	12	7	7
567	4	3	3
568	20	17	18
569	347	331	352
570	14	11	8
571	0	0	4
572	28	23	38
573	0	0	0
574	0	1	0
575	120	188	116
576	0	0	0
577	7	9	3
578	1	2	1
579	0	0	0
580	17	14	13
581	28	20	29
582	0	0	0
583	11	8	7
584	0	1	0
585	29	32	24
586	1	0	0
587	37	39	27
588	9	8	7
589	0	0	0
590	2	3	1
591	1	2	2
592	18	24	23
593	30	35	30
594	13	12	14
595	0	0	0
596	23	18	15
597	1082	936	995
598	45	38	52
599	42	33	33
600	5	10	8
601	4	6	2
602	1	2	0
603	31	24	23
604	235	177	184
605	11	18	15
606	100	97	99
607	17	6	21
608	2	0	1
609	1132	1167	1103
610	30	29	30
611	56	73	72
612	0	0	0
613	0	0	0
614	31	34	24
615	4	1	0
616	8	5	10
617	8	17	12
618	13	11	20
619	12	17	7
620	5	4	13
621	16	18	13
622	3	1	4
623	5	4	5
624	27	20	19
625	37	44	49
626	1	1	0
627	24	26	26
628	16	9	9
629	3	5	4
630	14	13	15
631	11	6	7
632	31	44	33
633	1	1	0
634	35	37	30
635	0	0	0
636	0	0	0
637	0	0	0
638	139	145	144
639	13	11	18
640	37	45	28
641	3	4	4
642	98	84	76
643	4	3	5
644	67	65	63
645	1	2	3
646	3	13	6
647	42	30	31
648	14	18	13
649	27	19	20
650	6	6	13
651	0	0	0
652	26	32	28
653	0	2	2
654	47	54	39
655	0	0	1
656	33	25	25
657	7	4	4
658	219	208	157
659	17	23	14
660	88	64	62
661	94	51	63
662	4	0	0
663	0	0	0
664	18	10	10
665	4	5	6
666	28	21	24
667	6	16	17
668	26	18	20
669	1	0	0
670	0	1	0
671	25	33	18
672	8	6	5
673	22	13	12
674	21	16	13
675	0	1	0
676	7	7	4
677	110	124	95
678	3	1	0
679	29	21	26
680	8	5	9
681	62	51	56
682	10	14	11
683	61	56	59
684	88	114	114
685	1	0	4
686	0	0	0
687	32	24	23
688	5	2	5
689	28	16	31
690	0	1	0
691	12	13	14
692	78	66	87
693	10	7	9
694	22	31	32
695	0	0	0
696	41	36	36
697	5	1	1
698	3	8	3
699	3	5	3
700	0	0	0
701	10	12	10
702	13	6	8
703	5	1	3
704	0	0	0
705	6	5	3
706	1	0	1
707	0	0	0
708	4	8	9
709	0	0	0
710	13	9	15
711	19	14	16
712	22	35	25
713	61	69	58
714	119	92	77
715	60	64	74
716	11	13	12
717	6	9	8
718	1	3	2
719	7	6	8
720	13	7	10
721	3	5	5
722	1	3	1
723	116	96	97
724	18	10	13
725	39	43	47
726	9	11	3
727	21	27	33
728	86	71	62
729	2	8	2
730	19	26	23
731	28	46	27
732	62	57	41
733	0	3	1
734	1	1	3
735	67	72	67
736	8	13	6
737	47	35	70
738	9	5	2
739	0	0	2
740	206	177	181
741	4	2	5
742	3	10	3
743	33	27	24
744	335	343	335
745	12	19	9
746	120	94	121
747	58	41	43
748	7	5	6
749	0	4	3
750	2	0	1
751	75	51	65
752	12	8	8
753	113	104	113
754	10	3	4
755	4	1	5
756	168	143	170
757	42	37	30
758	2	2	1
759	6	5	3
760	10	12	11
761	60	67	49
762	243	210	189
763	54	68	49
764	15	19	7
765	44	39	70
766	1	2	0
767	1	0	0
768	1	1	1
769	176	199	163
770	20	11	11
771	349	421	350
772	8	6	7
773	18	31	28
774	4	8	6
775	24	29	23
776	11	10	10
777	1	1	1
778	14	15	11
779	9	9	8
780	25	27	19
781	1	3	2
782	17	7	9
783	81	66	75
784	1	8	8
785	4	6	2
786	0	0	0
787	18	16	18
788	55	48	58
789	34	19	29
790	4	5	6
791	18	9	19
792	22	21	29
793	147	134	125
794	11	17	8
795	13	8	10
796	16	12	5
797	4	4	3
798	3	1	2
799	5	3	3
800	19	16	21
801	20	12	13
802	3	6	0
803	364	294	270
804	32	40	38
805	5	2	8
806	42	54	49
807	1	2	2
808	8	10	13
809	1	1	2
810	9	10	16
811	3	4	6
812	15	9	7
813	173	153	171
814	0	0	1
815	0	0	0
816	0	1	1
817	3	4	1
818	6	8	8
819	77	86	80
820	14	18	15
821	2	1	0
822	8	6	8
823	4	6	3
824	21	19	25
825	4	4	2
826	5	3	3
827	43	33	26
828	17	17	19
829	57	43	46
830	3	2	3
831	55	43	35
832	7	5	2
833	16	24	17
834	30	28	26
835	1	0	1
836	14	16	15
837	57	78	62
838	31	19	20
839	6	8	8
840	5	6	5
841	4	4	3
842	9	2	5
843	5	3	3
844	0	0	0
845	0	1	0
846	42	43	33
847	6	6	5
848	9	11	16
849	2	6	1
850	12	9	18
851	6	3	1
852	3	1	2
853	0	0	0
854	4	5	2
855	8	7	9
856	3	4	5
857	36	37	25
858	0	4	2
859	0	0	0
860	2	0	0
861	6	9	2
862	10	10	14
863	6	6	4
864	38	28	24
865	57	68	46
866	24	23	22
867	13	6	5
868	6	13	9
869	0	0	0
870	0	0	0
871	15	9	12
872	1	3	2
873	48	47	41
874	52	69	47
875	7	8	8
876	0	0	0
877	69	81	119
878	0	1	1
879	27	22	24
880	5	3	5
881	1	2	1
882	31	34	27
883	0	0	0
884	5	5	4
885	0	0	0
886	0	0	0
887	2	0	3
888	5	7	5
889	2	6	6
890	53	68	42
891	57	51	69
892	0	2	1
893	33	37	23
894	0	0	1
895	46	44	37
896	4	2	4
897	0	0	0
898	55	51	47
899	17	16	10
900	9	6	12
901	0	0	1
902	0	2	2
903	7	5	6
904	1	0	0
905	13	3	6
906	9	13	13
907	12	7	4
908	19	13	14
909	0	0	0
910	57	42	57
911	4	4	6
912	25	19	21
913	56	49	58
914	17	11	19
915	1	1	0
916	0	0	0
917	3	1	4
918	24	33	27
919	1	0	0
920	0	0	0
921	2	7	3
922	7	5	6
923	14	12	17
924	2	4	3
925	6	9	11
926	12	12	8
927	49	43	31
928	38	26	26
929	79	61	46
930	18	19	16
931	0	0	0
932	0	0	0
933	15	21	18
934	7	9	9
935	58	72	63
936	13	5	13
937	0	1	0
938	103	87	84
939	3	1	2
940	1	4	1
941	43	53	55
942	0	0	0
943	3	5	1
944	19	18	16
945	18	9	15
946	51	36	40
947	15	18	22
948	65	36	46
949	0	0	0
950	4	2	4
951	183	154	158
952	6	5	6
953	2	4	4
954	0	0	0
955	0	1	2
956	0	1	0
957	2	0	0
958	1	2	3
959	0	1	0
960	48	46	65
961	27	33	19
962	35	39	25
963	95	84	83
964	8	10	9
965	1	0	0
966	14	8	14
967	0	0	0
968	115	98	90
969	14	28	15
970	7	5	2
971	10	13	11
972	194	171	193
973	16	21	15
974	3	3	4
975	0	0	0
976	0	1	1
977	7	8	18
978	34	36	30
979	0	0	0
980	2	0	1
981	0	0	0
982	11	10	4
983	124	99	99
984	592	540	554
985	10	3	5
986	23	19	19
987	73	64	42
988	10	18	14
989	413	430	396
990	126	120	162
991	7	8	8
992	2	0	4
993	0	2	1
994	7	10	3
995	5	10	7
996	4	5	2
997	5	3	4
998	14	10	11
999	5	4	2
1000	2	3	3
1001	138	157	137
1002	6	8	7
1003	0	0	0
1004	27	28	22
1005	0	3	2
1006	47	53	52
1007	0	0	0
1008	8	10	7
1009	60	57	74
1010	18	14	17
1011	1	4	4
1012	16	23	24
1013	2	8	1
1014	8	6	5
1015	9	8	16
1016	219	157	180
1017	14	10	12
1018	255	257	281
1019	0	0	0
1020	12	14	14
1021	220	247	202
1022	3	5	3
1023	0	0	0
1024	27	29	25
1025	11	6	16
1026	1	0	1
1027	102	93	99
1028	46	43	41
1029	7	10	2
1030	11	4	8
1031	0	3	4
1032	10	8	14
1033	12	11	16
1034	1	2	1
1035	2	4	2
1036	8	3	7
1037	6	8	5
1038	3	8	7
1039	6	10	8
1040	30	34	33
1041	17	24	25
1042	85	69	72
1043	2	0	0
1044	7	6	4
1045	5	3	5
1046	0	0	0
1047	2	1	0
1048	14	10	10
1049	0	0	0
1050	18	22	8
1051	27	21	17
1052	1	0	0
1053	10	4	5
1054	0	0	0
1055	29	27	30
1056	63	43	36
1057	9	14	18
1058	25	18	13
1059	0	0	0
1060	288	260	228
1061	7	1	6
1062	565	569	559
1063	20	20	25
1064	106	109	103
1065	26	36	33
1066	0	0	1
1067	6	7	6
1068	2	0	0
1069	12	14	12
1070	4	0	4
1071	9	7	8
1072	0	0	0
1073	90	80	91
1074	62	63	53
1075	6	1	3
1076	0	1	3
1077	0	0	0
1078	132	134	150
1079	3	2	2
1080	1	1	3
1081	0	0	0
1082	0	0	0
1083	7	9	4
1084	44	52	39
1085	11	6	6
1086	7	3	7
1087	4	5	2
1088	3	5	6
1089	1	1	0
1090	0	0	0
1091	3	4	1
1092	95	93	69
1093	13	11	13
1094	7	10	12
1095	5	4	6
1096	105	118	94
1097	1	4	2
1098	4	1	1
1099	22	7	10
1100	0	1	0
1101	63	55	81
1102	29	49	47
1103	6	11	17
1104	2	2	2
1105	51	45	43
1106	1	1	1
1107	122	120	128
1108	57	75	72
1109	7	5	2
1110	0	0	1
1111	0	0	0
1112	17	19	12
1113	5	0	1
1114	1	4	3
1115	0	0	0
1116	13	12	9
1117	5	2	8
1118	0	0	0
1119	146	138	120
1120	1	1	1
1121	2	3	1
