-100	331
-99	397
-98	418
-97	337
-96	397
-95	413
-94	422
-93	408
-92	447
-91	416
-90	395
-89	473
-88	438
-87	496
-86	428
-85	427
-84	435
-83	474
-82	427
-81	461
-80	445
-79	490
-78	565
-77	538
-76	491
-75	655
-74	483
-73	566
-72	558
-71	594
-70	641
-69	622
-68	722
-67	741
-66	648
-65	692
-64	754
-63	655
-62	784
-61	677
-60	780
-59	833
-58	782
-57	857
-56	963
-55	902
-54	958
-53	874
-52	935
-51	877
-50	911
-49	1022
-48	958
-47	1020
-46	1021
-45	1089
-44	1118
-43	1099
-42	1157
-41	1256
-40	1184
-39	1193
-38	1401
-37	1301
-36	1275
-35	1514
-34	1466
-33	1380
-32	1558
-31	1513
-30	1673
-29	1669
-28	1687
-27	1667
-26	1838
-25	1673
-24	1854
-23	1943
-22	2214
-21	2127
-20	1838
-19	1758
-18	2029
-17	1744
-16	1719
-15	1689
-14	2178
-13	1512
-12	1577
-11	1717
-10	1648
-9	1730
-8	1900
-7	1694
-6	1552
-5	1453
-4	1580
-3	1418
-2	1255
-1	1398
0	2031
1	1175
2	736
3	957
4	2833
5	957
6	1121
7	1055
8	1232
9	994
10	1155
11	1160
12	1128
13	1292
14	1286
15	1083
16	1249
17	1158
18	1040
19	1225
20	1126
21	1018
22	1093
23	958
24	994
25	1128
26	1038
27	930
28	1093
29	1012
30	992
31	1244
32	1147
33	909
34	1089
35	1100
36	1027
37	1178
38	983
39	877
40	1123
41	1058
42	885
43	1079
44	947
45	808
46	1211
47	929
48	845
49	1093
50	899
51	828
52	1086
53	929
54	914
55	1103
56	886
57	916
58	1088
59	965
60	823
61	1078
62	969
63	864
64	1077
65	899
66	843
67	1194
68	950
69	921
70	1131
71	991
72	845
73	1207
74	1041
75	921
76	1148
77	970
78	933
79	1249
80	1020
81	936
82	1230
83	990
84	1019
85	1195
86	954
87	923
88	1120
89	1001
90	922
91	1092
92	1127
93	915
94	1225
95	1012
96	1030
97	1322
98	1114
99	1040
