	F0	F1	F2
383	1675	1397	1111
384	34	40	38
385	5	9	8
386	209	148	116
387	711	697	601
388	834	735	527
389	197	142	99
390	1581	1144	862
391	1708	1428	1301
392	179	160	101
393	1179	1159	923
394	651	602	442
395	1131	1155	939
396	8	4	3
397	234	125	74
398	1636	1505	1351
399	2967	2939	2604
400	99	81	53
401	2654	2011	1673
402	1785	1667	959
403	46	39	26
404	42	21	14
405	184	196	126
406	77	79	43
407	194	181	131
408	2622	2063	1562
409	710	737	725
410	200	202	109
411	607	508	448
412	9	12	10
413	1	0	1
414	94	89	74
415	2	7	1
416	9	4	10
417	882	665	429
418	429	458	305
419	13	10	8
420	20	19	11
421	159	176	184
422	163	121	96
423	168	165	105
424	8	11	8
425	198	155	122
426	109	76	45
427	113	143	92
428	263	319	169
429	615	519	530
430	869	922	870
431	1156	1075	809
432	246	196	131
433	243	157	118
434	4	2	0
435	371	452	330
436	808	576	416
437	157	212	162
438	0	2	1
439	155	114	81
440	112	96	67
441	16	17	18
442	347	263	243
443	42	23	48
444	3	7	3
445	1072	811	591
446	996	871	597
447	1086	632	473
448	304	428	215
449	0	0	0
450	523	394	269
451	61	23	66
452	748	679	553
453	101	74	44
454	690	464	348
455	2	5	2
456	158	164	93
457	1429	1275	1088
458	209	230	143
459	105	105	66
460	5	2	3
461	0	0	1
462	1385	1122	804
463	3516	2815	2091
464	4495	3961	3679
465	293	196	118
466	943	880	726
467	2745	2418	1737
468	19	11	15
469	197	209	110
470	832	681	484
471	517	434	318
472	1094	861	649
473	111	91	57
474	7	3	11
475	344	250	243
476	21	21	14
477	265	240	187
478	294	255	206
479	2104	1670	1379
480	1	0	0
481	605	466	325
482	710	600	492
483	79	75	45
484	34	58	26
485	288	231	141
486	465	434	317
487	12	7	7
488	76	95	64
489	1025	818	653
490	0	0	0
491	119	114	116
492	1250	1012	771
493	83	100	47
494	928	1057	895
495	2044	2027	1842
496	37	30	27
497	13	15	16
498	216	186	119
499	39	32	18
500	89	95	76
501	157	131	116
502	147	112	134
503	552	371	302
504	116	104	90
505	74	72	58
506	18	15	13
507	821	527	427
508	6	4	5
509	0	0	0
510	275	196	166
