Position	Candida_Cycloheximide	Candida_Control
-100	596	191
-99	655	159
-98	624	145
-97	616	207
-96	678	201
-95	643	162
-94	698	175
-93	637	212
-92	639	139
-91	657	164
-90	673	213
-89	716	206
-88	690	176
-87	775	213
-86	805	272
-85	770	222
-84	757	215
-83	779	226
-82	758	277
-81	792	205
-80	822	288
-79	769	195
-78	817	182
-77	846	276
-76	771	199
-75	873	234
-74	876	253
-73	937	225
-72	995	261
-71	1024	291
-70	893	253
-69	952	249
-68	941	341
-67	1023	360
-66	1032	353
-65	1159	322
-64	1128	372
-63	1123	284
-62	1162	294
-61	1193	318
-60	1289	379
-59	1296	278
-58	1367	420
-57	1363	477
-56	1550	412
-55	1436	470
-54	1535	441
-53	1518	395
-52	1619	634
-51	1519	558
-50	1551	403
-49	1537	463
-48	1613	448
-47	1757	522
-46	1582	447
-45	1853	602
-44	1842	532
-43	1775	616
-42	1754	597
-41	1731	554
-40	1846	581
-39	1915	632
-38	1899	620
-37	1903	583
-36	1798	529
-35	1882	744
-34	1945	540
-33	1961	643
-32	2023	624
-31	2056	901
-30	2078	743
-29	2070	844
-28	2114	884
-27	2033	759
-26	1899	810
-25	2057	822
-24	1931	847
-23	2268	1050
-22	2305	1087
-21	2143	788
-20	2029	784
-19	2175	900
-18	2053	792
-17	2124	786
-16	2292	928
-15	3440	1332
-14	4214	1378
-13	2043	689
-12	2254	838
-11	2357	714
-10	1943	780
-9	2162	718
-8	2109	761
-7	2150	1035
-6	1903	577
-5	1755	569
-4	1907	831
-3	1718	531
-2	1343	343
-1	1654	533
0	3910	1598
1	2012	489
2	1467	373
3	1484	506
4	2915	590
5	1166	327
6	1427	424
7	1687	458
8	1365	365
9	1519	470
10	1561	518
11	1290	356
12	1409	467
13	1518	430
14	1300	358
15	1411	461
16	1580	427
17	1298	405
18	1405	396
19	1689	510
20	1355	390
21	1513	498
22	1677	486
23	1363	397
24	1456	529
25	1665	513
26	1376	399
27	1445	546
28	1628	528
29	1336	443
30	1459	464
31	1634	522
32	1329	372
33	1431	474
34	1558	470
35	1305	421
36	1376	468
37	1643	529
38	1311	391
39	1404	469
40	1606	562
41	1302	408
42	1495	531
43	1646	552
44	1280	480
45	1463	613
46	1569	577
47	1323	415
48	1410	510
49	1701	646
50	1314	451
51	1464	633
52	1624	606
53	1296	451
54	1541	558
55	1664	638
56	1365	494
57	1462	572
58	1688	621
59	1432	496
60	1560	560
61	1711	585
62	1411	501
63	1601	624
64	1760	799
65	1349	521
66	1574	593
67	1638	626
68	1392	446
69	1531	714
70	1754	673
71	1436	475
72	1710	682
73	1715	763
74	1486	520
75	1738	803
76	1782	800
77	1463	543
78	1657	614
79	1743	668
80	1444	603
81	1655	749
82	1801	717
83	1430	535
84	1637	670
85	1771	753
86	1462	618
87	1701	663
88	1860	697
89	1535	556
90	1773	734
91	1783	746
92	1467	592
93	1674	739
94	1803	727
95	1488	585
96	1800	811
97	1873	792
98	1536	662
99	1798	762
