gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FET99	8107.58155679221	7.16157488099542	0.1328314572989	53.9147505163654	0	0
RHD2	15472.2132966232	3.56102387788579	0.0846948762067521	42.0453283288688	0	0
CAALFM_C403230CA	67131.7874650361	3.58395066201752	0.0797644198769244	44.9316959560104	0	0
ARG5%2C6	2925.2819412304	-3.26982798544945	0.087008181060995	-37.58069581017	0	0
LYS22	2516.36492105915	-4.30124993945346	0.115889098783195	-37.1152246813156	1.59618785072122e-301	1.91670237114604E-298
OPT1	3014.70032239259	-5.16722684439847	0.182914541905757	-28.249404287718	1.44752768970311e-175	1.44849270816291E-172
GDH2	11570.8571185849	-1.99698320068322	0.0715450602357976	-27.9122443129068	1.89500855019964e-171	1.62537590505695E-168
CAALFM_C102970WA	3373.42821988291	-2.59748168279681	0.0965208097219228	-26.9111053904352	1.62828390240436e-159	1.22202706875447E-156
CAALFM_CR09140CA	2841.30549123794	2.31088442325922	0.0867544565008447	26.6370687624182	2.5270655657897e-156	1.6858335174446E-153
CAALFM_C401830CA	4181.21832657816	2.01402645745079	0.0756866820386904	26.6100508464783	5.19337535886576e-156	3.118102565463E-153
CAALFM_C603620CA	4172.7884589549	2.07763739967439	0.0784636569877218	26.4789773945854	1.69285883556321e-154	9.23993131701956E-152
FGR13	1928.20588606348	2.71100808844051	0.104340885373495	25.9822223928451	7.86607217009338e-149	3.93565810910339E-146
PYC2	45856.7228719549	-2.50523415634319	0.0996481816874067	-25.1407914717604	1.78206188230939e-139	8.23038426260427E-137
BUL1	759.682692435671	-3.68660080747908	0.148443607860308	-24.8350256411736	3.75340041652905e-136	1.60967257863146E-133
ACO2	13652.8829031256	-1.66266150764869	0.0672607624574836	-24.7196351468611	6.57837381288366e-135	2.63310375817023E-132
CAALFM_C208960CA	2153.97434805675	2.34170344897509	0.0951768799415559	24.6037005038727	1.15308934076477e-133	4.32696775121982E-131
ZCF1	4063.29765313474	-2.59006119341652	0.106201731379697	-24.3881258786302	2.28586210272135e-131	8.07312709690527E-129
LYS12	5318.55115444173	-2.08286915094922	0.0866727918644547	-24.0314071595452	1.30625553452532e-127	4.35708790516111E-125
XOG1	4826.67869356036	2.59452504665256	0.11018427349418	23.5471448363237	1.34282415751215e-122	4.2433243377384E-120
LYS9	3799.52023210372	-1.70845689475802	0.075725714729438	-22.5611194408954	1.04446076714658e-112	3.13547122297405E-110
SNZ1	2985.77131301074	-3.69473383501059	0.172126654314459	-21.4652045014519	3.29298372278824e-102	9.41479727220029E-100
HSP70	7135.34427389419	1.84256421312564	0.0868255358715442	21.2214551241199	6.05217764944406e-100	1.6516943003301E-97
CPA2	3154.86530405148	-3.24396343647064	0.154942388790558	-20.9365781810402	2.48691616633459e-97	6.49193246203169E-95
ARO8	7939.89794884495	-2.00611231285481	0.0967784171505758	-20.7289225420326	1.8999617880731e-95	4.75307107316288E-93
WH11	17010.2535446025	2.65111744161779	0.12857431989803	20.6193386340317	1.84057262685727e-94	4.42031922066041E-92
GCV2	18094.80318259	-1.68020472444918	0.0839597706402001	-20.0120213721106	4.32740244508206e-89	9.99297087702795E-87
CAALFM_C302630CA	1242.89892164374	-2.66844607754603	0.133546964971384	-19.9813307484586	8.00611102639854e-89	1.78032187416655E-86
CAALFM_C402620CA	7369.63917106574	1.35072449087567	0.0682375437639781	19.7944476950635	3.3237523617213e-87	7.12707470706239E-85
FRE10	12609.7392273271	-1.70624124663044	0.086598000495723	-19.7030097330563	2.03175391758758e-86	4.20643121420545E-84
SNO1	1414.26871472871	-2.11561981207742	0.107842866220106	-19.6176148337848	1.09365581965676e-85	2.18876984707306E-83
