gene_id	log2FoldChange.sc5314	log2FoldChange.plc124
01-Apr	0.206012916999941	0.0119884815332957
07-Sep	-0.0734380552561824	-0.0281458649487304
AAF1	-0.825238853183201	-0.282930625593345
AAH1	-0.0684466180280396	-8.88212759455326e-05
AAP1	-0.570552620762228	-0.0566174688244703
AAT1	-0.0819948233626261	0.166783137317589
AAT21	0.160979466930516	-0.0181212817190979
AAT22	-0.0636738243945665	0.0969268488974284
ABC1	-0.0491726040165167	-0.0436049309825701
ABD1	0.168411500214121	0.0128534757207517
ABG1	0.148510482790189	0.0168191356085161
ABP1	-0.293057716901972	-0.217125876271789
ABP140	-0.0312312141602122	0.0454700313306525
ABP2	-0.324900865865515	-0.161220929041543
ABZ1	0.0927685066296186	0.0594634551303623
ACB1	-0.00177944552894718	0.239353028427725
ACC1	-0.279409402133622	-0.156901349680569
ACE2	-0.861278477664696	-0.295463987626497
ACF2	0.0791289640979084	-0.0340779485351013
ACH1	0.0219074779597341	0.0173364790878015
ACO1	-1.15679125022688	-0.188631741831356
ACO2	-0.281332394473044	-0.114854240267429
ACP1	0.0291488839202594	0.0611644601332135
ACP12	0.1780476773569	0.0711945057132967
ACS1	-0.0569265775992954	-0.0111577610737931
ACS2	-0.0603063578947443	-0.0783100112741469
ACT1	0.045134780852022	0.0113867986779782
ADA2	0.027428383417962	0.0236694626188878
ADAEC	-0.457698933300674	-0.227883808769178
ADE1	0.0927942233575774	0.28461755005525
ADE12	-0.0447087853552517	-0.0127304039170564
ADE13	0.187197832109789	0.239249720824447
ADE17	-0.223607642928897	-0.0246849301414855
ADE2	0.187777466540486	0.0356975988311518
ADE4	-0.0306340968706757	0.21945742546633
ADE5%2C7	0.0549275846906267	0.185087504607067
ADE6	-0.00439410638123437	0.128089729982297
ADE8	0.356212920529833	0.0203482398779171
ADH1	0.0672314215978937	0.104657878025422
ADH2	0.0153693255368044	0.120171618687289
ADH3	-0.187380519600809	0.120402450923483
ADH4	-0.550979993858362	0.262602455539184
ADH5	-0.019244823109001	0.142825462054399
ADK1	0.0910268632632109	-0.0751514446416538
ADO1	-0.271591330185073	-0.203563747695676
ADP1	0.0802223898713011	0.0389968886967431
ADR1	-0.0227934072806198	-0.00934309746997196
AFG1	0.0730508358154175	0.0286985721705223
AFG3	0.126516209005477	-0.0636340083883504
AFL1	-0.79678671885431	-0.0859470450642826
AFP99	-0.22617012099948	-0.271250244154891
AFT2	-0.588991677651468	-0.179381135928903
AGA1	-0.28538432994655	0.175519610066905
AGC1	-0.30189075216437	0.171239687076896
AGE1	0.0099895205955349	0.0257870182971625
AGE2	-0.0481718321411335	-0.179336372791385
AGE3	0.0706167917788157	0.0709452929079746
AGM1	-0.231216687006266	0.0735845858312871
AGO1	-0.217565588492502	0.0288334217486104
AGP2	0.270862858400127	0.0202293924051825
AGP3	-0.0651883552156124	0.198320306085058
AHA1	0.100221638742191	-0.0255850571012328
AHP1	-0.0793980201334049	-0.00633200195731268
AHP2	0.161831348074801	0.131427518324587
AHR1	-0.200457162640139	0.109858795239636
AIP2	0.127637378335449	-0.0264476456873529
AKL1	-0.329099443081578	-0.135730210377537
AKR1	0.0909795381113845	-0.0161136435443837
ALA1	-0.0449292989149019	-0.0198208045815543
ALD5	-0.0901078251503577	0.0155254479996804
ALD6	-0.138961859221875	-0.262080024353656
ALG1	0.0835847586934989	0.0391604744846978
ALG11	-0.01981258345254	0.18542045592095
ALG2	0.0353622887430033	0.122601189254621
ALG5	0.180707982316477	0.0597606893586618
ALG6	-0.0646793838092866	0.0397564972348941
ALG7	0.0345519930876166	-0.0792961062609196
ALG8	-0.0175147546693484	-0.0291527743418846
ALG9	0.0393581631547352	-0.0587289033064188
ALI1	-0.292984812489435	0.149338721885802
ALK2	-0.425293135439522	-0.0716834067843673
ALK6	-0.0237627547262388	0.0677194233739501
ALK8	-0.138223905690432	-0.173675611365915
ALO1	-0.127735823226968	-0.0363173768365732
ALP1	-0.00600433955054271	-0.183732271193213
ALR1	-0.480773960043861	-0.139732235608529
ALS1	-0.234881939837885	-0.306380665170963
ALS2	-0.703141231766531	-0.289321013418435
ALS3	-0.448972724212956	-0.193105817782574
ALS4	-0.701749521527802	-0.234422577723983
ALS5	-0.0762735388677787	-0.127764424361051
ALS6	-0.222245568383434	-0.144964455820705
ALS7	-1.17357043971019	-0.269692614025171
ALS9	-0.60918583722664	-0.141601202742497
ALT1	-0.392087641197062	-0.0592400146553146
AMN1	-0.259781460961096	0.112821516966661
AMO1	-0.278509113254885	-0.12603925942366
AMO2	-0.162337293189191	-0.0499257943078501
AMS1	-0.0263440438927278	0.200131710771199
ANB1	0.228234498390445	0.0179846283964485
ANP1	0.00773934711422195	-0.0960749316100136
ANT1	0.0670613713233707	-0.243435608010916
AOX1	0.144792829334506	-0.157774389866879
AOX2	-0.712629235799213	0.0281488437331032
APA2	-0.115807267097402	-0.0157114773886345
APC1	0.0176781084009894	-0.105323366879215
APE2	0.131114070035625	-0.0256869398583388
APE3	-0.290533102698216	-0.0320850199258111
APG7	0.203197619305115	-0.124662245474992
APL2	-0.0400343120185041	0.0622021217718651
APL4	-0.0297672620858897	0.00845102447521382
APL5	-0.104515755940693	0.0712518314064173
APM1	-0.1458613883594	-0.0135413296186783
APM4	0.00826973014702608	-0.00934639219074851
APN1	0.167284963921869	-0.0170275977059125
APN2	0.0533440294903945	-0.0202172931346939
APS3	0.510305680721142	0.104272823364633
APT1	0.0811887855857609	0.0736397868802123
AQY1	-0.529018750918438	0.138400238796256
ARA1	0.361086097018488	0.181122758728459
ARC1	-0.15394586784717	-0.0692150498689073
ARC15	0.388492362306133	-0.105525036073006
ARC18	-0.00239062415377583	0.0459057682538808
ARC19	0.149466630253778	0.0798494609092355
ARC35	0.0249008195492419	0.200214006931458
ARC40	-0.0721907933530823	0.019561028802711
ARD	0.168505476096618	-0.139921981483414
ARE2	0.189889518259977	0.113073872076675
ARF1	0.437092904254169	0.135569979739055
ARF2	0.181797423252091	-0.000739755088016827
ARF3	-0.0465091506127617	0.115243263441984
ARG1	-0.00161077254186609	0.0100024853379811
ARG11	-0.115821080355488	0.119322613260556
ARG2	0.0247469642412311	0.0599953054720953
ARG3	-0.111333363250372	-0.330358614077566
ARG4	-0.62630896677345	0.152472559103606
ARG5%2C6	-0.110883798117386	0.124879297989985
ARG8	0.167874836867982	-0.0325441058736582
ARG81	-0.534174929109938	-0.0860642991325862
ARG83	0.00297946962037457	0.0269265739278834
ARH2	-0.758705774119732	-0.0969137956077815
ARL1	0.143451297148496	0.0246194081614612
ARL3	0.256148510645891	-0.105460659990163
ARO1	-0.077225683782495	0.0112719374489402
ARO10	-0.145809278999485	-0.189821209290731
ARO2	0.0692313933689921	-0.0439646234926603
ARO3	-0.0501731144099071	-0.0871527244857472
ARO4	0.108941351292674	-0.0444326752936557
ARO7	0.0340330109768031	0.0491605202763702
ARO8	-0.0346140253152519	-0.110085897596663
ARO80	-0.322701169295433	-0.247917620589219
ARO9	-0.347655510169359	-0.0209234877147652
ARP1	0.149805925290078	0.174318996786876
ARP2	0.230017171661497	0.0181528718914477
ARP3	0.128105862150877	-0.0185224643179195
ARP4	-0.0143891482985005	0.110751978114816
ARP8	0.212440690576377	-0.0839145290869155
ARP9	-0.0126221867231112	0.119879147386306
ARR3	-0.466553259927299	0.198298606663593
ARV1	0.163354595876932	0.21245684794132
ARX1	0.0324360247545118	-0.0320507917568737
ASC1	-0.0429002901952398	0.00438180312662063
ASE1	-0.0464734849245801	-0.0936756502728566
ASF1	0.303691994802829	-0.129531713314629
ASG1	-0.268601927339371	0.0455333894291686
ASG7	-0.795718752049485	-0.469049054186921
ASH1	-0.284060238920566	-0.211700712076889
ASH2	0.0686980143334516	-0.00208375917015798
ASK1	-0.190311775366845	-0.0999806388735817
ASM3	-0.0482125154576755	-0.0244254460407744
ASN1	0.029893879569167	-0.00343852072528972
ASR1	2.23400194202762	-0.512954319455456
ASR2	0.77240683386877	0.0279590348784218
ASR3	0.28684567594094	0.175949741899227
ATC1	0.0571123206618795	-0.0388723389880213
ATF1	-0.170788095032216	-0.151033562318686
ATG1	-0.830483945157508	-0.0348225294415562
ATG15	0.0224959274706292	-0.0444642374146076
ATG9	-0.162257213760035	0.10084279549708
ATM1	-0.463710133777459	0.0782920628637759
ATO1	-0.298912199790584	-0.408787080642676
ATO10	-0.373873942552905	-0.0164848777174715
ATO2	-0.0150291059334593	0.0446289060892678
ATO5	-0.661812077899814	-0.173758466131207
ATO6	-0.308201107996661	-0.181133232940833
ATO7	-0.5685288473773	-0.411258978838978
ATO9	0.379311812943951	-0.786319540691114
ATP1	-1.17509877618812	-0.103824963868481
ATP14	0.200659745675837	-0.0455804144106393
ATP16	-0.3791738871653	-0.236489075689029
ATP17	0.200224114899056	-0.105822979138133
ATP18	0.0240673711938198	-0.0588440257782444
ATP19	0.0334903181052581	-0.000490704971550528
ATP2	-0.524715182930689	-0.120914139863695
ATP20	0.0682884085518604	0.13712236805224
ATP3	0.019480329456881	-0.0247286846651537
ATP4	-0.254147058572835	-0.0984181972239545
ATP5	0.0193509192358947	-0.0708826348921355
ATP7	0.0248154161371847	0.154811107855233
ATS1	-0.117691381913068	-0.0875306883447014
ATX1	0.231394057548762	0.120999547291769
AUR1	-1.08333289018742	-0.127920700679381
AUT7	-0.142369375932397	0.0125063018016907
AVT1	-0.122593732902653	-0.0697151555781033
AVT4	-0.819686471428498	-0.0327650536033527
AVT7	0.0661972251892471	0.0428515201098719
AXL1	-0.226918753420732	0.137283184438732
AXL2	-0.255152355093601	-0.0235007816803005
AYR1	0.100791815950508	-0.0238708827716211
AYR2	-0.067357840907087	0.107284566069095
BAS1	-0.264119931818225	-0.0908795184020354
BAT21	-0.770644876381096	0.0503967726425977
BAT22	0.00191992821902571	-0.0378977141643718
BBC1	-0.0629274961114138	-0.152827168680855
BCK1	-0.56003003729345	-0.194064745613939
BCR1	-0.591218981206838	-0.231726503023993
BCY1	0.00750288414826676	-0.0720937938961411
BDF1	-0.0443048021769375	-0.177940575548592
BEM1	-0.259873982415079	0.0143056521546916
BEM2	-0.0599964009514069	-0.0786100551706182
BEM3	-0.449571027212572	-0.0726402134558917
BET2	0.30669209116261	0.108177438086882
BET4	0.10660387907475	0.126083931151872
BFA1	0.0631136885962086	-0.0360806359425161
BFR1	-0.270077125237019	-0.0408581488696995
BGL2	-0.257680661618374	-0.0380624222977048
BGL22	-0.614045473237909	-0.276905423533625
BIG1	0.0746693510845597	0.169593881744973
BIO2	0.140707142094889	0.0219088257690175
BIO32	-0.0839978584659895	-0.0720904946286503
BLM3	0.0610148781189937	-0.0692827888163303
BLP1	0.151920796698763	0.586405350665061
BMH1	-0.296250218123719	-0.0812020543230819
BMS1	0.11005056807658	-0.0458878781686821
BMT1	-0.846564404397497	0.147739708558181
BMT3	0.0591984206121398	-0.116805849081185
