gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MVD	11291.1076335536	-0.268682733364952	0.374410219550236	-0.717615917876681	0.472994140102132	0.999948133873345
CDS	0	NA	NA	NA	NA	NA
CAALFM_C100370WA	305.183571820202	0.046924859040615	0.164293488286876	0.285616061414915	0.775172200463933	0.999948133873345
UBP6	7630.85226284442	-0.00117962607644806	0.0829782806870882	-0.0142160824095216	0.988657589376153	0.999948133873345
CAALFM_C100450CA	4495.99291957854	-0.0100747852997892	0.0990482191372094	-0.101715966097612	0.918982128764324	0.999948133873345
TUB2	22611.0095262994	0.0382000600719601	0.0737330955313593	0.51808566826973	0.604398499145173	0.999948133873345
CAALFM_C100910WA	621.201462502695	0.00595405279053907	0.117396808657171	0.0507173308937763	0.959550766365357	0.999948133873345
SIN3	19494.1395679385	-0.13085542002538	0.073721494118727	-1.77499685254127	0.0758984068862724	0.978586850038322
RPB11	1571.70493458434	0.134793105508409	0.0952124505025257	1.41570881535953	0.156860776310668	0.999948133873345
CAALFM_C100970WA	272.80567099278	-0.0734330864208026	0.139376158122701	-0.52686978468839	0.598284017726101	0.999948133873345
CAALFM_C100980WA	1312.09744423655	-0.00547017178925305	0.13177240620919	-0.0415122706385817	0.966887510732207	0.999948133873345
RPS21B	25343.8023578734	0.0179952285154025	0.187667318901146	0.0958889838719412	0.923608743859225	0.999948133873345
POX18	14.2630124589836	-0.397789877952423	0.647438412252509	-0.614405741804024	0.53894724248071	0.999948133873345
CAALFM_C101610CA	129.426423933398	0.651930577506822	0.203551923484032	3.20277286673718	0.00136111286021713	0.0996600196676052
RPS42	12734.9944780578	-0.00316891426373899	0.113396339916693	-0.0279454721913162	0.977705641026401	0.999948133873345
SWI4	3236.52388100918	-0.203303555060214	0.191832605991162	-1.05979665974814	0.289237116762168	0.999948133873345
CAALFM_C101930WA	469.717146901379	0.159083309150865	0.129565816405888	1.2278185216115	0.219515101180269	0.999948133873345
CAALFM_C101970WA	5.98479999197593	-0.349839507333753	0.964607117874239	-0.362675643638951	0.716847196241423	0.999948133873345
ZCF24	677.52885013585	0.118619209853887	0.127373039568578	0.93127407696055	0.351711807851484	0.999948133873345
CAALFM_C102060WA	798.58291970697	0.0310860169053962	0.108641715648062	0.286133339481653	0.774775997331054	0.999948133873345
CAALFM_C102330CA	17874.3077007396	0.154934477662079	0.0823127831309769	1.88226508409448	0.0598000327195453	0.927750378418993
CAALFM_C102700CA	793.804116357777	0.0501243479626479	0.136370542016901	0.36755993795519	0.713201391571504	0.999948133873345
CAALFM_C102770WA	1167.58583958717	-0.0550084340824365	0.121076750367336	-0.454326977851205	0.649593501487406	0.999948133873345
RPS16A	52584.7897377244	-0.0652005187108591	0.133840344181654	-0.487151457279324	0.626151002807999	0.999948133873345
TEM1	936.411441418195	-0.146921393292848	0.114905793694072	-1.27862476355209	0.201029225294105	0.999948133873345
CAALFM_C103100WA	12849.1131072979	-0.0809645319355734	0.0964343361814246	-0.839581990622641	0.401142800349911	0.999948133873345
RPL6	79944.8699149855	0.0158796164050256	0.0915876291619471	0.173381673380221	0.862351429467241	0.999948133873345
CAALFM_C103150CA	1972.29658411521	-0.0211687596281272	0.104432933671483	-0.202701953147445	0.839367996478985	0.999948133873345
ECM33	69517.1111982717	-0.0718692433580216	0.106215582838582	-0.676635588087321	0.498637193488967	0.999948133873345
CDC12	8013.36613472103	0.0109924302476211	0.097240925131505	0.113043250388202	0.909996266100976	0.999948133873345
CAALFM_C103270WA	160.658627219074	0.164120145495595	0.18423487769496	0.890820172320089	0.37302565135162	0.999948133873345
MED17	2130.93399241625	0.0260233864811722	0.0766753989398591	0.339396818809953	0.734310814748484	0.999948133873345
CAALFM_C103580WA	12.1964337184864	-0.607797749889948	0.599015684274561	-1.0146608274974	0.31026753305644	0.999948133873345
CAALFM_C103620CA	4765.76173011055	0.0950269765581025	0.101179473427519	0.939192242645702	0.347632051120368	0.999948133873345
CAALFM_C103660WA	339.17080408981	0.0887064021256363	0.187355465489527	0.473465782777472	0.635880907368726	0.999948133873345
SKO1	1143.40107724287	-0.164783757591386	0.183308438153994	-0.898942565060504	0.36868325412916	0.999948133873345
CAALFM_C103840WA	231.073022831817	-0.204632317970222	0.186206379250853	-1.09895439024969	0.271787960626524	0.999948133873345
BET4	367.73441108988	0.126083931151872	0.157332055521218	0.801387426956156	0.422907391635152	0.999948133873345
CDC3	6148.74937214096	-0.0170878227269032	0.0987018948223511	-0.173125579378783	0.862552719095069	0.999948133873345
CAALFM_C104230WA	2577.18276036208	0.0024640275856424	0.107938884923707	0.0228279881470336	0.981787482525903	0.999948133873345
ACS2	54628.1077991041	-0.0783100112741469	0.0781730034712101	-1.00175262298816	0.316463084212439	0.999948133873345
CAALFM_C104360CA	4762.17850481131	-0.0478441082620198	0.151224379129252	-0.316378275364763	0.751715404493512	0.999948133873345
APE2	45780.9689451065	-0.0256869398583388	0.0975327256062511	-0.263367394878714	0.792267418849508	0.999948133873345
CAALFM_C104430CA	150.995551954106	-0.0819225265461028	0.225899311055144	-0.362650625906977	0.716865887037701	0.999948133873345
FMA1	10286.7277973141	-0.0175560217650286	0.129293328993439	-0.135784436070321	0.891991695314088	0.999948133873345
PHO85	2613.41689546109	-0.0688223973753752	0.108403922220513	-0.634869993314246	0.52551320887223	0.999948133873345
CAALFM_C104590WA	604.411646412728	1.46372985618352	0.1145865544913	12.7740105519505	2.29041817756848e-37	1.71895884226514e-34
ATP1	162449.062643457	-0.103824963868481	0.128136477058554	-0.810268599947824	0.417785817995686	0.999948133873345
