cds_id	plc124_fluc_rep01	plc124_fluc_rep02	plc124_fluc_rep03	plc124_ut_rep01	plc124_ut_rep02	plc124_ut_rep03
XP_719073.1	488	425	753	616	722	889
XP_719072.1	11	22	8	37	20	24
XP_719071.2	3268	2287	3747	3772	4070	5196
XP_719068.2	4144	2192	4339	4394	4898	4265
XP_019330598.1	14460	6221	9620	14718	16031	7689
XP_719061.1	781	470	638	806	1033	585
XP_719062.1	75	40	77	88	81	63
XP_719059.1	1594	847	1445	1421	1438	1365
XP_719058.1	16687	7863	12747	16925	19023	10443
XP_719055.1	2630	1492	2583	2150	2290	2640
XP_719053.1	2950	1942	2701	2623	2959	2756
XP_719052.1	2186	1376	1831	2351	2925	1899
XP_719051.1	739	413	603	732	940	454
XP_719050.1	46820	30985	47266	43545	45625	51601
XP_719048.1	1084	760	958	1034	1122	926
XP_719047.1	148175	112552	139864	135599	153231	149282
XP_719046.1	73	78	72	81	110	78
XP_719045.1	94	147	166	124	148	134
XP_719044.2	7404	5781	7358	7247	8031	7861
XP_719043.1	35799	22632	31741	34144	37969	30940
XP_719042.1	1405	1208	1262	1332	1392	1547
XP_719041.2	671	287	347	517	624	408
XP_019330599.1	0	0	0	0	0	0
XP_719040.2	455	226	373	316	391	300
XP_719039.1	2274	1594	2421	2309	2668	2365
XP_719038.1	1886	1333	1775	1698	1868	2089
XP_719037.2	2406	1565	2294	2210	2357	2673
XP_719036.1	3647	3280	3610	3326	3731	4530
XP_719035.1	2957	2350	3011	2776	2959	3364
XP_719034.1	1008	786	792	769	895	766
XP_019330600.1	368	256	279	307	359	270
XP_719033.1	3213	2950	2978	2685	3135	2906
XP_719032.1	4944	3561	4761	4855	5535	4916
XP_719030.1	14073	10404	13524	10752	11076	12863
XP_719028.2	3194	2527	2992	3120	3381	2830
XP_719027.1	2015	1682	1823	1850	2055	2008
XP_719026.2	1857	1283	1469	1682	1821	1763
XP_019330601.1	7931	6461	7734	7210	8035	8521
XP_019330602.1	4991	3492	4577	4291	4732	5022
XP_719024.1	3936	2853	3381	3534	3846	3308
XP_719023.1	2377	1914	2337	2292	2350	2294
XP_719022.1	10934	8730	10985	9716	10761	12700
XP_719021.1	3683	1935	3586	2887	3009	3658
XP_719020.1	6349	4158	5978	5124	5271	6343
XP_719019.1	2932	2001	2632	2188	2265	2538
XP_719018.1	1017	942	956	912	1002	1191
XP_719017.1	795	611	683	874	1043	463
XP_719016.2	4031	3244	3722	4102	4402	4105
XP_719015.2	1726	1378	1744	1722	1774	2012
XP_719014.1	4024	3235	3977	3486	4012	4103
XP_719011.2	2591	2266	2643	2794	2957	3188
XP_719010.1	449	410	489	464	527	497
XP_719009.1	37231	23798	33641	37059	37583	36730
XP_719008.2	5577	4488	5240	5456	6258	5963
XP_719007.1	8327	5929	7805	6804	7147	7346
XP_719006.1	2357	1755	2297	2245	2229	2494
XP_719005.1	338	300	250	311	390	275
XP_719003.2	21740	18200	20789	22409	25618	22475
XP_719002.1	2771	2414	2889	2574	2824	3484
XP_719001.1	2560	2011	2498	2459	2848	2767
XP_719000.1	1064	708	953	950	1057	1073
XP_718999.1	344	307	339	350	374	359
XP_718998.2	1624	1594	1581	1616	1730	1576
XP_718997.1	2132	1831	1865	1926	2154	2054
XP_019330603.1	24792	18480	23380	22026	24504	22942
XP_718995.2	3359	2415	2647	3384	3861	2471
XP_718994.2	3962	3460	3049	3690	4237	2512
XP_718993.2	2903	2796	2921	3119	3586	3186
XP_718992.1	354	322	361	355	454	362
XP_718991.1	1997	1808	2016	1858	1855	1954
XP_718990.2	253	261	268	296	287	229
XP_718989.2	547	566	478	458	540	454
XP_718988.2	4171	3767	4015	1966	1863	2468
XP_718987.2	684	657	732	396	322	493
XP_718986.1	306	316	291	257	287	295
XP_718985.2	317	236	314	280	236	201
XP_718984.2	4548	3803	3670	5050	5571	3919
XP_718983.1	275	292	350	289	339	298
XP_718982.1	285	305	273	244	318	277
XP_718980.2	3319	3277	3401	3042	3466	3848
XP_718979.2	587	559	535	614	718	559
XP_718978.1	1111	1100	974	1132	1185	1184
XP_718976.1	3054	2772	2961	2632	2809	3132
XP_019330604.1	625	567	607	575	660	695
XP_718974.1	3248	2801	3112	3128	3685	3490
XP_019330605.1	19814	15756	18442	20225	23278	19984
XP_019330606.1	1616	1494	1642	1481	1552	1627
XP_718972.1	13745	10520	13113	13406	15895	13059
XP_718971.1	3300	3448	3369	3474	4016	4274
XP_019330607.1	278	234	258	291	299	280
XP_019330608.1	1311	1047	1447	1288	1252	1545
XP_718111.2	9990	8085	10188	9350	10264	11023
