	F0	F1	F2
397	3	9	7
398	212	161	164
399	805	747	835
400	7	1	5
401	10	6	9
402	105	130	98
403	0	1	0
404	16	17	14
405	24	28	39
406	13	10	6
407	11	13	16
408	747	705	642
409	121	118	140
410	16	11	14
411	106	98	99
412	1	2	3
413	0	0	0
414	14	13	9
415	0	2	0
416	1	1	2
417	26	21	23
418	63	49	68
419	6	3	8
420	7	3	1
421	11	17	22
422	25	20	17
423	17	9	12
424	1	1	2
425	6	4	6
426	9	9	6
427	9	11	10
428	0	2	0
429	71	65	71
430	206	167	179
431	515	493	468
432	28	23	20
433	24	21	17
434	0	2	0
435	15	14	15
436	32	40	37
437	42	37	62
438	0	0	0
439	3	6	6
440	20	18	9
441	1	1	1
442	70	60	61
443	2	0	3
444	2	1	0
445	13	18	9
446	22	29	25
447	94	68	53
448	29	33	25
449	0	0	0
450	29	15	20
451	7	9	7
452	79	78	68
453	5	1	3
454	36	37	31
455	1	2	0
456	4	6	9
457	193	221	187
458	8	6	5
459	3	4	6
460	0	0	0
461	0	0	0
462	114	102	70
463	67	70	47
464	1285	1287	1175
465	27	21	12
466	65	79	88
467	250	201	179
468	1	3	1
469	7	7	5
470	7	5	6
471	128	144	107
472	338	319	321
473	15	20	18
474	0	0	0
475	19	25	30
476	1	1	0
477	28	31	37
478	13	15	12
479	6	4	4
480	0	0	0
481	2	4	3
482	51	44	45
483	5	4	3
484	4	8	3
485	27	26	20
486	84	59	76
487	3	1	0
488	16	28	17
489	65	56	65
490	0	1	1
491	16	12	13
492	86	91	84
493	6	4	4
494	111	127	128
495	54	63	66
496	1	3	1
497	8	4	4
498	18	17	13
499	1	2	3
500	45	24	33
501	8	9	15
502	47	33	37
503	36	36	29
504	14	10	10
505	19	16	17
506	4	1	4
507	135	111	95
508	0	0	0
509	0	0	0
510	30	36	18
511	6	5	4
512	4	1	1
513	26	21	22
514	158	154	140
515	9	13	5
516	6	2	4
517	28	20	17
518	17	16	15
519	7	10	5
520	9	4	4
521	18	18	14
522	0	0	0
523	102	89	128
524	85	91	65
525	8	7	6
526	51	42	49
527	12	4	8
528	3	5	10
529	0	0	0
530	1	1	1
531	0	0	1
532	107	146	106
533	4	11	5
534	108	97	109
535	1	2	0
536	7	3	5
537	29	36	32
538	4	4	5
539	7	5	3
540	8	7	3
541	7	6	6
542	0	1	0
543	2	1	0
544	80	63	66
545	4	1	7
546	2	4	4
547	20	33	29
548	0	0	0
549	32	43	32
550	20	24	20
551	6	9	4
552	36	36	36
553	200	174	155
554	8	8	10
555	10	7	11
556	0	1	0
557	12	10	14
558	7	9	6
559	0	0	0
560	24	22	13
561	11	8	11
562	9	9	5
563	10	7	7
564	15	7	13
565	66	45	78
566	23	16	25
567	14	16	8
568	40	28	21
569	516	467	479
570	19	13	5
571	1	0	1
572	124	123	123
573	0	0	0
574	0	0	0
575	94	120	83
576	1	0	0
577	12	8	8
578	5	5	4
579	0	0	0
580	30	26	23
581	39	25	29
582	0	0	0
583	14	9	15
584	11	5	3
585	91	94	64
586	3	2	4
587	61	57	44
588	11	16	10
589	0	0	0
590	0	3	3
591	4	2	4
592	34	36	40
593	47	45	35
594	37	42	34
595	0	0	0
596	23	32	31
597	995	884	897
598	176	97	174
599	130	127	102
600	25	25	19
601	10	3	8
602	5	5	9
603	30	31	30
604	460	420	327
605	41	34	29
606	215	225	224
607	18	19	24
608	2	2	2
609	1787	1706	1715
610	44	43	64
611	135	145	127
612	0	0	0
613	0	0	0
614	26	49	34
615	6	5	4
616	7	13	8
617	10	16	16
618	35	29	32
619	17	18	16
620	22	10	18
621	25	13	22
622	9	2	2
623	8	8	11
624	14	17	13
625	99	141	130
626	2	2	2
627	45	59	47
628	14	17	9
629	10	12	7
630	31	24	26
631	13	19	16
632	54	33	46
633	3	1	1
634	47	43	29
635	0	0	0
636	2	1	4
637	0	0	1
638	428	423	421
639	74	64	51
640	58	57	44
641	1	3	5
642	143	134	128
643	7	6	4
644	320	268	266
645	7	6	8
646	9	5	4
647	51	51	44
648	28	37	19
649	53	42	25
650	7	4	6
651	0	0	0
652	21	25	20
653	3	4	0
654	81	84	53
655	1	1	1
