-100	1268
-99	1436
-98	1374
-97	1423
-96	1530
-95	1430
-94	1431
-93	1401
-92	1347
-91	1344
-90	1404
-89	1550
-88	1399
-87	1575
-86	1689
-85	1686
-84	1687
-83	1634
-82	1701
-81	1617
-80	1698
-79	1646
-78	1768
-77	1708
-76	1641
-75	1815
-74	1795
-73	1966
-72	2062
-71	2108
-70	1845
-69	2016
-68	2027
-67	2123
-66	2064
-65	2416
-64	2318
-63	2252
-62	2315
-61	2537
-60	2741
-59	2629
-58	2753
-57	2865
-56	3039
-55	2916
-54	3259
-53	3039
-52	3373
-51	3108
-50	3131
-49	3184
-48	3281
-47	3638
-46	3241
-45	3714
-44	3837
-43	3711
-42	3657
-41	3573
-40	3852
-39	4005
-38	3970
-37	4042
-36	3732
-35	3927
-34	4180
-33	4156
-32	4165
-31	4340
-30	4451
-29	4350
-28	4348
-27	4471
-26	4124
-25	4419
-24	4217
-23	4816
-22	4940
-21	4587
-20	4325
-19	4704
-18	4392
-17	4564
-16	5073
-15	6368
-14	7597
-13	4288
-12	4697
-11	4929
-10	4355
-9	4615
-8	4676
-7	4796
-6	4189
-5	3911
-4	4210
-3	3836
-2	2959
-1	3762
0	8513
1	4481
2	3137
3	3280
4	6870
5	2522
6	3278
7	3683
8	3134
9	3217
10	3429
11	2959
12	3175
13	3470
14	3084
15	3179
16	3474
17	3003
18	3217
19	3628
20	3152
21	3414
22	3766
23	3140
24	3227
25	3666
26	3159
27	3446
28	3666
29	2961
30	3353
31	3747
32	2990
33	3238
34	3391
35	3048
36	3133
37	3669
38	3016
39	3096
40	3637
41	3171
42	3339
43	3763
44	3063
45	3214
46	3532
47	3150
48	3168
49	3876
50	3133
51	3423
52	3718
53	3056
54	3488
55	3771
56	3105
57	3428
58	3864
59	3362
60	3552
61	3902
62	3182
63	3641
64	3966
65	3093
66	3508
67	3703
68	3179
69	3555
70	3961
71	3403
72	3675
73	3970
74	3442
75	3899
76	4111
77	3294
78	3697
79	4055
80	3303
81	3766
82	4077
83	3327
84	3713
85	3846
86	3449
87	3894
88	4247
89	3692
90	4109
91	4122
92	3457
93	3887
94	4233
95	3459
96	4240
97	4411
98	3639
99	4076
