1.0	406852
2.0	66907
3.0	21806
4.0	9721
5.0	5296
6.0	3248
7.0	2117
8.0	1532
9.0	1103
10.0	873
11.0	668
12.0	536
13.0	441
14.0	371
15.0	303
16.0	231
17.0	224
18.0	221
19.0	135
20.0	123
21.0	116
22.0	87
23.0	93
24.0	77
25.0	68
26.0	60
27.0	52
28.0	50
29.0	25
30.0	25
31.0	39
32.0	25
33.0	21
34.0	22
35.0	20
36.0	15
37.0	20
38.0	13
39.0	10
40.0	21
41.0	14
42.0	15
43.0	17
44.0	14
45.0	8
46.0	10
47.0	4
48.0	8
49.0	11
50.0	9
51.0	3
52.0	6
53.0	4
54.0	8
55.0	7
56.0	4
57.0	6
58.0	1
59.0	3
60.0	2
62.0	6
63.0	2
64.0	6
65.0	3
66.0	2
67.0	4
68.0	2
69.0	3
70.0	1
71.0	1
72.0	3
73.0	5
74.0	2
75.0	4
76.0	2
77.0	2
78.0	1
79.0	1
80.0	2
81.0	1
82.0	1
83.0	3
84.0	1
85.0	2
86.0	4
87.0	1
88.0	2
90.0	2
91.0	3
93.0	2
95.0	2
96.0	2
98.0	2
100.0	2
101.0	2
104.0	2
114.0	4
116.0	2
117.0	1
118.0	1
119.0	2
120.0	2
122.0	1
126.0	1
127.0	3
128.0	1
131.0	2
134.0	1
135.0	1
142.0	1
145.0	1
150.0	1
152.0	2
155.0	1
159.0	1
162.0	1
169.0	2
170.0	2
173.0	1
189.0	1
193.0	1
194.0	1
197.0	1
201.0	1
205.0	1
232.0	1
270.0	1
279.0	1
315.0	1
317.0	1
321.0	1
326.0	1
362.0	1
494.0	1
560.0	1
799.0	1
1419.0	1
1866.0	1
