1.0	277945
2.0	36955
3.0	11004
4.0	4677
5.0	2465
6.0	1598
7.0	987
8.0	719
9.0	491
10.0	372
11.0	298
12.0	219
13.0	179
14.0	133
15.0	112
16.0	101
17.0	89
18.0	73
19.0	58
20.0	64
21.0	42
22.0	32
23.0	29
24.0	28
25.0	36
26.0	17
27.0	22
28.0	20
29.0	26
30.0	10
31.0	6
32.0	15
33.0	10
34.0	13
35.0	5
36.0	9
37.0	8
38.0	7
39.0	7
40.0	4
41.0	7
42.0	4
43.0	2
44.0	2
45.0	3
46.0	4
48.0	2
49.0	1
50.0	4
51.0	1
52.0	3
53.0	1
54.0	4
55.0	5
56.0	4
57.0	2
58.0	2
59.0	1
60.0	3
61.0	1
63.0	1
65.0	1
67.0	1
68.0	1
69.0	1
70.0	2
71.0	1
72.0	1
73.0	4
74.0	2
75.0	1
77.0	1
81.0	1
83.0	1
84.0	1
86.0	1
88.0	1
89.0	1
91.0	1
94.0	1
98.0	1
100.0	2
101.0	1
102.0	2
108.0	1
109.0	1
113.0	1
129.0	1
138.0	1
140.0	1
145.0	2
146.0	1
148.0	1
150.0	1
159.0	1
161.0	1
171.0	1
184.0	1
210.0	1
242.0	1
269.0	1
367.0	1
669.0	1
981.0	1
