-97	350
-96	391
-95	356
-94	337
-93	383
-92	324
-91	332
-90	325
-89	336
-88	343
-87	333
-86	345
-85	351
-84	357
-83	313
-82	271
-81	352
-80	332
-79	320
-78	353
-77	329
-76	283
-75	286
-74	306
-73	269
-72	283
-71	263
-70	283
-69	299
-68	260
-67	267
-66	261
-65	288
-64	250
-63	296
-62	259
-61	296
-60	287
-59	248
-58	243
-57	251
-56	257
-55	229
-54	328
-53	252
-52	276
-51	295
-50	293
-49	264
-48	297
-47	291
-46	230
-45	276
-44	224
-43	241
-42	220
-41	230
-40	211
-39	228
-38	200
-37	214
-36	225
-35	174
-34	185
-33	194
-32	180
-31	216
-30	183
-29	193
-28	182
-27	183
-26	165
-25	181
-24	163
-23	159
-22	173
-21	185
-20	202
-19	170
-18	344
-17	367
-16	167
-15	164
-14	141
-13	152
-12	139
-11	140
-10	127
-9	133
-8	148
-7	144
-6	115
-5	125
-4	133
-3	132
-2	123
-1	137
0	116
1	136
2	157
3	162
4	128
5	129
6	113
7	118
8	98
9	122
10	145
11	119
12	120
13	86
14	87
15	96
16	106
17	132
18	107
19	107
20	105
21	128
22	108
23	108
24	95
25	92
26	77
27	92
28	82
29	76
30	83
31	80
32	80
33	100
34	87
35	82
36	77
37	87
38	76
39	71
40	69
41	95
42	73
43	93
44	118
45	75
46	85
47	74
48	65
49	73
50	70
51	72
52	56
53	69
54	67
55	88
56	80
57	78
58	65
59	85
60	59
61	65
62	75
63	56
64	68
65	57
66	50
67	66
68	75
69	44
70	78
71	84
72	46
73	65
74	58
75	86
76	76
77	105
78	54
79	85
80	66
81	50
82	55
83	67
84	86
85	85
86	90
87	103
88	78
89	89
90	66
91	55
92	97
93	41
94	68
95	68
96	89
97	64
98	48
99	52
100	85
101	70
102	77
