cds_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rna_id	gene_id
XP_722703.1	264.837520277607	2.54902262818737	0.186487986979624	13.6685620852666	1.56456320860403E-42	4.52628136249146E-39	XM_717610.1	ERG251
XP_721708.2	349.22763143675	1.8794261288871	0.174481708637167	10.7714793921198	4.69397411971545E-27	6.7898335641684E-24	XM_716615.2	ERG6
XP_715022.1	1028.92556635594	1.26435964754688	0.146930514884372	8.6051535893812	7.62146372113582E-18	7.34963151508198E-15	XM_709929.1	SET3
XP_710124.1	409.474424113117	1.0334246515263	0.151417835793657	6.82498627793488	8.7933720201912E-12	5.08784505088263E-09	XM_705032.1	ERG10
XP_713420.1	150.614761089215	1.69107171781379	0.246738640068929	6.85369635392888	7.19657553893385E-12	5.08784505088263E-09	XM_708327.2	ERG25
XP_711894.1	95.2614226497511	1.44964678965677	0.234794189782118	6.17411696176128	6.65342744275026E-10	3.20806093197942E-07	XM_706801.1	ERG1
XP_716761.1	140.211864131171	1.03517357107534	0.198729378464646	5.20896094514532	1.89901076299478E-07	0.0000784834019620556	XM_711668.2	ERG11
XP_713577.1	127.599683314523	1.18131165223954	0.235459778657821	5.01704222680117	0.0000005247303791138	0.000189755623347028	XM_708484.2	ERG3
XP_711448.2	56.3030016920756	1.3709230687633	0.287928507000168	4.76133149526074	1.92319841092562E-06	0.000572278458892551	XM_706356.2	CAALFM_C405440CA
XP_718988.2	179.809122742894	0.925363738976261	0.194582217759171	4.75564391049114	1.97814883820446E-06	0.000572278458892551	XM_713895.2	ERG2
XP_721821.1	161.024957269029	-0.856365493487079	0.184995835063954	-4.62910688335782	3.67246189898798E-06	0.000965857479433838	XM_716728.2	SAH1
XP_717000.1	341.28345055319	0.771768824037255	0.171741817709763	4.49377346955483	6.99720624594653E-06	0.00168690980579361	XM_711907.1	ERG5
XP_717931.1	194.034096631162	0.859731303168967	0.212524808093295	4.04532210089826	0.0000522512321297456	0.0116279088116426	XM_712838.1	ERG27
XP_719985.1	83.5089794074975	-0.855562648325697	0.225313931200872	-3.79720261310849	0.000146338175008872	0.0282237560200445	XM_714892.1	MET13
XP_721798.1	229.59732644053	0.768717339567878	0.201625754807972	3.81259497478387	0.000137515360344923	0.0282237560200445	XM_716705.1	PMC1
XP_714462.1	882.699440356719	-0.737671070154697	0.198758814552187	-3.71138795437427	0.000206125905058919	0.0372701402084657	XM_709369.2	YWP1
XP_712095.2	86.8556743126307	0.911416866744698	0.247836842909566	3.6774873987451	0.000235542708111625	0.0400838267392312	XM_707002.2	CAALFM_C604240WA
XP_710958.2	100.490685946775	0.918912913553231	0.259068333925271	3.54699047788022	0.000389658674656493	0.0626268080989575	XM_705866.2	CAALFM_C503930CA
XP_713122.2	150.560113116277	0.645363960723546	0.185636874617126	3.47648581163954	0.000508031108636733	0.0673233691039642	XM_708029.2	MSC7
XP_713494.1	685.384418749718	-0.667191800669559	0.191438701447831	-3.48514587501721	0.000491868810804401	0.0673233691039642	XM_708401.1	CAALFM_CR06140WA
XP_715036.1	4200.1689011373	0.465541253615273	0.133979577011865	3.47471804284055	0.000511390565041428	0.0673233691039642	XM_709943.1	TIF35
XP_718086.1	301.784257295929	0.532010459426714	0.153122225749447	3.47441696868514	0.000511964784060564	0.0673233691039642	XM_712993.1	SHM2
XP_712031.2	325.721664704633	-0.715619547922741	0.206878483672585	-3.45912989702357	0.000541923481391512	0.0681645492028541	XM_706938.2	PCL1
XP_019330968.1	164.383813292252	0.68984216865206	0.205294989512079	3.36024844196926	0.000778724112030516	0.0914933053597767	XM_019475423.1	CAALFM_C503290CA
XP_722152.1	218.46990299366	-0.576194342204095	0.17168826711428	-3.35604961182681	0.000790643841684901	0.0914933053597767	XM_717059.1	TYE7
XP_713673.1	307.090199204254	0.535994285802866	0.16377707190106	3.27270648804044	0.00106523032566949	0.118527358929302	XM_708580.2	RPN4
XP_720425.2	253.736429425208	0.545774137527489	0.169775007978813	3.21469068990178	0.0013058514879712	0.139919568692618	XM_715332.2	NCP1
XP_715564.1	44.7543380707587	0.920682776400146	0.288341727282973	3.1930265004503	0.00140790025284526	0.145466265410047	XM_710471.1	ERG26
XP_019331085.1	502.77371168557	0.49623020872211	0.15701222051138	3.16045596391107	0.00157522414425273	0.157142187907695	XM_019475540.1	CAALFM_CR04750WA
XP_717215.2	84.0593790751133	0.706901590467772	0.228042910071467	3.09986217175634	0.00193610713870848	0.181334116436883	XM_712122.2	CAALFM_C404720WA
XP_717359.2	77.0814811525114	0.765791379937863	0.247125479236968	3.09879573042141	0.00194308939147714	0.181334116436883	XM_712266.2	CAALFM_CR04120CA
XP_718148.2	175.358035604298	-0.576215242301418	0.188536450123058	-3.05625380092455	0.00224121455477443	0.194439970861923	XM_713055.2	CAALFM_C101360CA
XP_718659.1	98.2984744655771	-0.665821003168938	0.217455493790985	-3.06187253107026	0.0021995709887577	0.194439970861923	XM_713566.1	CAALFM_CR00310CA
XP_722143.2	272.181186932557	0.586119753464257	0.19214346693242	3.05042769770779	0.00228515693373847	0.194439970861923	XM_717050.2	CAALFM_C113060CA
XP_718089.1	111.383903365372	0.638199256999821	0.213928663433327	2.98323397508965	0.0028521986241242	0.23575458913118	XM_712996.2	HGT10
XP_721512.1	386.214816651426	-0.613638276200678	0.208900350216861	-2.93746887242484	0.00330903389033121	0.265917640131339	XM_716419.1	BMH1
XP_710668.2	220.049933389495	0.567170523631976	0.194944515379062	2.90939461686899	0.00362129450156749	0.283146080892831	XM_705576.2	CAALFM_C504030WA
XP_720422.2	634.571319220805	-0.432371937461609	0.15144042399209	-2.85506290899048	0.0043028304975524	0.327581279721555	XM_715329.2	CAALFM_C403230CA
