	F0	F1	F2
396	1	0	0
397	25	15	11
398	261	238	265
399	1105	1187	1238
400	7	3	2
401	25	19	13
402	318	340	190
403	11	6	7
404	30	25	18
405	36	45	33
406	22	31	16
407	50	46	34
408	1205	1247	926
409	153	117	139
410	28	34	26
411	154	128	112
412	2	0	1
413	0	0	0
414	30	21	35
415	0	2	0
416	2	1	4
417	38	50	29
418	122	117	110
419	0	3	3
420	10	8	5
421	26	33	30
422	53	39	37
423	31	38	34
424	3	3	3
425	13	11	19
426	27	17	12
427	15	14	7
428	5	2	0
429	105	110	94
430	326	306	319
431	1066	1105	969
432	73	72	40
433	44	32	36
434	0	0	0
435	34	50	34
436	107	92	77
437	112	127	72
438	0	0	0
439	9	5	4
440	32	33	24
441	9	10	3
442	235	218	171
443	4	6	2
444	1	4	0
445	34	20	23
446	70	81	73
447	180	144	109
448	38	53	42
449	0	0	0
450	76	52	34
451	7	2	8
452	187	200	153
453	13	13	5
454	152	171	126
455	5	3	4
456	45	50	52
457	418	407	381
458	29	20	24
459	1	1	0
460	0	1	1
461	0	0	0
462	181	202	132
463	132	166	93
464	2471	2536	2312
465	35	48	30
466	90	99	101
467	458	455	332
468	3	5	3
469	9	11	12
470	19	12	8
471	286	240	242
472	491	443	400
473	31	44	26
474	1	0	0
475	30	41	41
476	3	0	1
477	55	48	70
478	19	18	15
479	2	1	3
480	0	0	0
481	3	8	6
482	110	100	109
483	20	7	12
484	11	18	7
485	111	96	77
486	131	172	102
487	5	4	2
488	23	48	32
489	144	134	118
490	0	0	0
491	29	29	27
492	159	172	162
493	14	11	12
494	242	278	279
495	112	84	111
496	7	7	4
497	8	10	11
498	44	43	36
499	3	10	4
500	65	59	48
501	32	24	13
502	130	120	96
503	71	66	44
504	32	28	35
505	31	25	20
506	12	18	6
507	443	376	244
508	0	1	1
509	0	0	0
510	58	67	35
511	21	16	18
512	5	8	4
513	76	43	48
514	392	364	239
515	51	43	33
516	7	8	6
517	28	34	23
518	23	38	32
519	27	22	20
520	12	11	10
521	56	40	38
522	0	0	0
523	188	200	234
524	210	194	121
525	16	32	25
526	122	128	82
527	37	18	33
528	15	8	13
529	0	0	0
530	1	3	3
531	1	0	1
532	200	197	179
533	16	20	20
534	254	236	223
535	0	1	1
536	11	14	8
537	85	86	79
538	6	5	5
539	14	11	7
540	23	17	20
541	11	13	6
542	0	1	0
543	2	3	3
544	201	212	165
545	2	6	7
546	0	2	0
547	66	53	46
548	0	1	0
549	78	75	60
550	89	85	49
551	4	3	2
552	20	34	30
553	445	415	338
554	13	14	18
555	5	9	9
556	0	0	0
557	26	36	25
558	6	1	6
559	0	0	0
560	55	63	40
561	33	26	18
562	28	25	13
563	39	31	18
564	27	24	18
565	382	384	347
566	29	32	14
567	45	35	36
568	84	72	39
569	1129	1109	1136
570	59	28	25
571	9	6	5
572	123	151	135
573	0	0	0
574	0	0	0
575	405	424	293
576	4	1	2
577	32	20	10
578	16	32	17
579	1	0	0
580	85	81	72
581	170	161	130
582	0	0	0
583	76	70	35
584	1	0	0
585	299	244	169
586	5	5	4
587	208	191	103
588	38	38	28
589	0	0	0
590	2	4	4
591	11	6	7
592	84	83	60
593	140	143	73
594	118	107	64
595	0	0	0
596	65	69	74
597	1886	1849	1758
598	205	215	268
599	217	242	206
600	30	46	24
601	21	12	15
602	14	14	6
603	149	132	98
604	1165	1154	785
605	68	69	63
606	485	533	491
607	54	55	52
608	9	5	6
609	2589	2518	2467
610	96	84	90
611	243	304	205
612	0	1	0
613	0	1	1
614	118	152	106
615	8	6	3
616	14	18	10
617	45	36	20
618	61	59	44
619	80	57	42
620	30	27	23
621	38	43	32
622	15	10	11
623	17	16	20
624	70	65	38
625	150	139	150
626	4	4	3
627	135	98	76
628	42	49	18
629	19	18	23
630	52	57	46
631	72	68	57
632	179	189	137
633	1	4	2
634	79	88	70
635	0	0	0
636	0	0	0
637	1	0	0
638	663	629	595
639	64	65	73
640	126	146	107
641	4	9	6
642	410	350	311
643	23	24	17
644	592	609	494
645	17	15	20
646	15	20	12
647	84	72	72
648	72	74	57
649	92	89	72
650	33	33	32
651	0	1	0
652	138	115	90
653	3	8	6
654	111	137	132
655	3	2	1
656	101	121	90
657	23	25	9
658	807	750	525
659	76	68	47
660	328	370	208
661	242	253	237
662	7	5	8
663	1	2	0
664	36	24	20
665	11	6	3
666	110	104	60
667	35	36	33
668	99	83	81
669	6	9	5
670	8	5	4
671	85	96	86
672	18	14	7
673	55	58	45
674	34	52	43
675	3	2	0
676	0	2	0
677	316	351	281
678	3	3	5
679	120	105	90
680	45	37	32
681	152	148	121
682	39	21	27
683	391	357	267
684	30	35	23
685	10	6	4
686	0	0	0
687	108	86	65
688	6	10	5
689	69	82	55
690	1	0	1
691	51	54	44
692	996	928	881
693	30	30	18
694	105	118	113
695	0	0	1
696	114	104	123
697	3	1	0
698	17	22	9
699	21	14	15
700	0	0	0
701	75	60	57
702	28	33	28
703	17	10	7
704	0	0	0
705	32	18	20
706	33	31	20
707	0	0	0
708	31	19	23
709	0	0	0
710	58	70	45
711	61	73	39
712	71	56	30
713	202	217	188
714	190	220	131
715	186	164	160
716	31	27	22
717	26	48	30
718	18	12	11
719	17	17	9
720	22	25	32
721	37	31	27
722	3	8	6
723	503	462	396
724	36	34	19
725	143	130	127
726	6	15	9
727	44	74	48
728	135	107	97
729	16	21	10
730	122	119	80
731	124	131	78
732	458	434	285
733	18	14	15
734	8	7	5
735	166	211	129
736	48	66	51
737	152	159	114
738	19	16	17
739	0	0	2
740	307	259	269
741	15	11	21
742	19	11	15
743	90	84	83
744	1128	1247	1142
745	55	43	45
746	276	244	259
747	128	112	102
748	14	11	11
749	9	8	7
750	5	5	4
751	225	210	142
752	5	3	2
753	541	516	462
754	11	20	5
755	8	4	7
756	431	405	377
757	125	135	104
758	21	15	15
759	24	17	15
760	24	28	28
761	209	189	135
762	880	925	646
763	155	153	116
764	103	70	57
765	166	215	227
766	7	8	7
767	4	7	4
768	2	2	0
769	290	362	259
770	84	74	68
771	1373	1374	1245
772	19	33	23
773	30	29	26
774	11	13	12
775	91	103	82
776	29	41	20
777	6	4	5
778	52	56	51
779	17	16	9
780	49	38	44
781	4	8	5
782	44	17	25
783	342	356	341
784	25	33	31
785	14	6	12
786	1	0	1
787	36	51	38
788	133	156	161
789	54	62	52
790	30	19	13
791	54	53	53
792	42	49	48
793	440	429	356
794	62	79	50
795	22	33	16
796	39	32	22
797	10	9	11
798	9	11	16
799	8	9	11
800	99	73	62
801	65	62	32
802	14	14	12
803	1197	1008	743
804	141	162	84
805	41	40	33
806	179	152	127
807	7	11	3
808	69	60	41
809	8	3	3
810	40	40	46
811	17	8	9
812	60	55	47
813	152	186	156
814	3	5	0
815	0	0	0
816	1	1	2
817	19	16	14
818	28	32	12
819	985	864	678
820	16	16	21
821	2	3	1
822	9	13	5
823	12	24	18
824	170	196	169
825	22	18	14
826	49	62	54
827	218	211	185
828	99	106	110
829	169	176	112
830	43	45	28
831	183	161	122
832	18	21	23
833	71	89	80
834	215	334	137
835	9	7	5
836	56	45	57
837	399	474	376
838	160	137	112
839	13	22	12
840	20	16	13
841	15	11	13
842	33	32	15
843	33	21	9
844	0	0	1
845	6	4	1
846	253	220	151
847	8	19	9
848	68	70	66
849	5	8	6
850	55	42	45
851	11	12	8
852	19	19	13
853	0	0	1
854	13	6	3
855	23	22	25
856	6	6	5
857	168	139	131
858	4	2	2
859	0	0	0
860	0	1	0
861	5	2	4
862	49	60	39
863	9	17	7
864	107	86	88
865	141	134	87
866	134	117	93
867	34	45	27
868	40	39	22
869	1	0	0
870	0	0	1
871	51	54	46
872	3	6	5
873	144	122	89
874	109	102	83
875	23	18	20
876	1	1	0
877	174	212	209
878	0	1	0
879	73	68	62
880	25	25	13
881	7	8	1
882	172	163	112
883	8	14	12
884	10	16	9
885	0	0	0
886	0	0	0
887	8	8	2
888	19	21	26
889	13	17	18
890	222	235	194
891	158	182	191
892	7	7	7
893	104	117	98
894	6	10	5
895	140	115	89
896	17	12	7
897	0	0	0
898	151	162	146
899	65	59	37
900	32	43	30
901	3	1	0
902	13	12	11
903	24	17	18
904	4	2	10
905	24	21	14
906	42	46	41
907	29	15	23
908	71	70	48
909	0	0	0
910	143	192	126
911	15	14	20
912	71	64	81
913	205	166	157
914	97	85	102
915	14	11	5
916	4	4	2
917	13	21	19
918	69	67	44
919	0	0	0
920	0	0	0
921	6	8	11
922	26	25	28
923	75	62	38
924	12	15	15
925	59	40	42
926	40	33	25
927	177	184	105
928	165	133	99
929	164	114	89
930	47	45	45
931	0	0	0
932	0	0	0
933	55	41	37
934	41	37	60
935	250	233	206
936	46	43	37
937	3	7	4
938	174	196	170
939	13	15	15
940	0	0	2
941	163	179	176
942	0	0	0
943	5	7	3
944	82	80	57
945	63	57	57
946	352	289	237
947	116	93	64
948	263	236	147
949	1	0	1
950	21	26	18
951	792	770	688
952	28	28	16
953	29	43	30
954	4	0	2
