1.0	405571
2.0	69928
3.0	24194
4.0	11225
5.0	6339
6.0	3961
7.0	2553
8.0	1955
9.0	1403
10.0	1086
11.0	838
12.0	714
13.0	559
14.0	468
15.0	372
16.0	329
17.0	284
18.0	227
19.0	213
20.0	179
21.0	136
22.0	147
23.0	103
24.0	105
25.0	74
26.0	91
27.0	67
28.0	67
29.0	53
30.0	43
31.0	51
32.0	34
33.0	30
34.0	34
35.0	23
36.0	24
37.0	23
38.0	19
39.0	17
40.0	20
41.0	14
42.0	17
43.0	19
44.0	9
45.0	12
46.0	10
47.0	8
48.0	8
49.0	14
50.0	11
51.0	12
52.0	7
53.0	6
54.0	7
55.0	6
56.0	3
57.0	7
58.0	9
59.0	7
60.0	2
61.0	5
62.0	4
63.0	4
64.0	2
65.0	4
66.0	3
67.0	1
68.0	4
69.0	3
70.0	2
71.0	8
72.0	3
73.0	6
74.0	3
75.0	5
76.0	4
77.0	3
79.0	1
80.0	5
81.0	4
82.0	3
83.0	2
84.0	1
87.0	1
88.0	4
89.0	3
90.0	2
93.0	3
96.0	2
97.0	1
100.0	1
102.0	2
103.0	1
104.0	1
108.0	1
110.0	2
111.0	1
112.0	1
113.0	2
114.0	1
115.0	2
116.0	2
119.0	1
121.0	2
122.0	1
124.0	1
125.0	1
128.0	1
129.0	2
130.0	1
131.0	1
132.0	2
135.0	1
136.0	1
141.0	1
143.0	2
144.0	3
147.0	1
148.0	2
151.0	1
152.0	1
156.0	1
159.0	1
165.0	1
166.0	2
168.0	3
169.0	1
178.0	1
182.0	1
195.0	1
210.0	1
220.0	1
240.0	1
265.0	1
272.0	1
289.0	1
308.0	1
319.0	2
346.0	1
386.0	1
409.0	1
412.0	1
492.0	1
792.0	1
1010.0	1
1233.0	1
1503.0	1
