-100	147
-99	175
-98	167
-97	172
-96	152
-95	144
-94	208
-93	193
-92	193
-91	194
-90	185
-89	194
-88	198
-87	185
-86	245
-85	203
-84	216
-83	285
-82	232
-81	249
-80	270
-79	217
-78	207
-77	255
-76	245
-75	235
-74	221
-73	223
-72	286
-71	316
-70	232
-69	246
-68	283
-67	234
-66	324
-65	318
-64	301
-63	252
-62	382
-61	333
-60	387
-59	376
-58	397
-57	386
-56	440
-55	430
-54	441
-53	435
-52	519
-51	447
-50	440
-49	518
-48	502
-47	540
-46	494
-45	605
-44	523
-43	574
-42	528
-41	502
-40	562
-39	650
-38	653
-37	613
-36	552
-35	713
-34	583
-33	727
-32	614
-31	749
-30	768
-29	746
-28	813
-27	751
-26	753
-25	824
-24	792
-23	853
-22	892
-21	872
-20	844
-19	880
-18	834
-17	812
-16	930
-15	744
-14	789
-13	820
-12	833
-11	773
-10	882
-9	881
-8	894
-7	915
-6	711
-5	763
-4	918
-3	651
-2	537
-1	776
0	1206
1	589
2	526
3	379
4	981
5	352
6	369
7	443
8	410
9	528
10	454
11	421
12	453
13	449
14	472
15	457
16	482
17	497
18	458
19	468
20	398
21	438
22	480
23	475
24	440
25	486
26	488
27	452
28	553
29	440
30	456
31	594
32	475
33	428
34	459
35	433
36	435
37	451
38	463
39	408
40	450
41	423
42	429
43	495
44	515
45	469
46	508
47	421
48	382
49	476
50	505
51	500
52	518
53	541
54	480
55	513
56	435
57	459
58	517
59	512
60	470
61	465
62	483
63	465
64	446
65	375
66	428
67	463
68	400
69	409
70	491
71	436
72	493
73	525
74	476
75	459
76	499
77	524
78	451
79	480
80	484
81	467
82	504
83	451
84	476
85	481
86	488
87	470
88	486
89	471
90	457
91	455
92	456
93	513
94	518
95	434
96	450
97	509
98	426
99	497
